Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
13.09.2024,"2,199.00",0,0,"2,199.00",0.00,0,0,"5,002,500"
16.08.2024,"2,199.00",0,0,"2,199.00",0.00,0,0,"5,001,282"
08.08.2024,"2,199.00","2,199.00","2,199.00","2,199.00",-2.96,403,"886,197","886,197"
29.07.2024,"2,266.00",0,0,"2,266.00",0.00,0,0,"17,784,000"
07.08.2023,"2,266.00",0,0,"2,266.00",0.00,0,0,"20,158,747"
03.07.2023,"2,266.00",0,0,"2,266.00",0.00,0,0,"7,051,792"
15.06.2023,"2,266.00",0,0,"2,266.00",0.00,0,0,"5,268,450"
06.06.2023,"2,266.00","2,266.00","2,266.00","2,266.00",3.00,"1,189","2,694,274","5,080,372"
29.05.2023,"2,200.00",0,0,"2,200.00",0.00,0,0,"20,153,448"
15.04.2022,"2,200.00","2,200.00","2,200.00","2,200.00",-5.05,30,"66,000","66,000"
14.03.2022,"2,317.00",0,0,"2,317.00",0.00,0,0,"15,407,700"
20.07.2021,"2,317.00","2,317.00","2,317.00","2,317.00",0.00,50,"115,850","115,850"
16.02.2021,"2,317.00",0,0,"2,317.00",0.00,0,0,"7,915,460"
30.12.2020,"2,317.00","2,317.00","2,317.00","2,317.00",2.98,183,"424,011","424,011"
03.12.2020,"2,250.00","2,250.00","2,250.00","2,250.00",1.26,20,"45,000","45,000"
30.11.2020,"2,222.00","2,222.00","2,222.00","2,222.00",1.97,30,"66,660","66,660"
24.11.2020,"2,179.00","2,179.00","2,179.00","2,179.00",9.99,20,"43,580","43,580"
05.11.2020,"1,981.00","1,981.00","1,981.00","1,981.00",9.99,20,"39,620","39,620"
14.10.2020,"1,801.00","1,801.00","1,801.00","1,801.00",0.06,113,"203,513","203,513"
06.10.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,25,"45,000","45,000"
29.09.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,821,"1,477,800","1,477,800"
24.09.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,223,"401,400","401,400"
10.09.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"1,491","2,683,800","2,683,800"
12.08.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,50,"90,000","90,000"
10.08.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"2,500","4,500,000","4,500,000"
28.07.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"2,500","4,500,000","4,500,000"
27.07.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,913,"1,643,400","1,643,400"
21.07.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,962,"1,731,600","1,731,600"
14.07.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,5,"9,000","9,000"
09.07.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"1,402","2,523,600","2,523,600"
22.06.2020,"1,800.00",0,0,"1,800.00",0.00,0,0,"4,500,000"
10.06.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,19,"34,200","4,618,800"
04.02.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,10,"18,000","18,000"
24.01.2020,"1,800.00",0,0,"1,800.00",0.00,0,0,"9,000,000"
22.01.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,45,"81,000","81,000"
21.01.2020,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,167,"300,600","300,600"
20.01.2020,"1,800.00",0,0,"1,800.00",0.00,0,0,"6,660,000"
17.01.2020,"1,800.00","1,800.00","1,800.00","1,800.00",-10.00,50,"90,000","90,000"
22.12.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"2,114,000"
15.12.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"4,000,000"
13.12.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"4,480,000"
11.12.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"7,081,000"
13.11.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"2,100,000"
10.11.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"26,561,600"
10.11.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"26,561,600"
06.11.2017,"2,000.00",0,0,"2,000.00",0.00,0,0,"9,440,980"
13.07.2016,"2,000.00",0,0,"2,000.00",0.00,0,0,"11,151,120"
16.12.2015,"2,000.00","2,000.00","2,000.00","2,000.00",-2.44,10,"20,000","20,000"
09.12.2015,"2,050.00",0,0,"2,050.00",0.00,0,0,"10,646,000"
07.12.2015,"2,050.00",0,0,"2,050.00",0.00,0,0,"6,600,000"
